PFAM	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
PF13263	12	8	16	8	21	20	24	32	21	18	24	38
PF13264	3	3	7	2	0	0	1	0	2	4	2	3
PF13265	0	0	0	1	0	3	1	0	0	2	5	3
PF13267	8	2	5	25	11	12	18	23	41	16	14	15
PF13271	8	0	15	15	8	14	14	14	14	10	13	15
PF13274	6	4	4	14	10	9	3	7	9	6	6	7
PF13275	1	8	6	3	9	2	7	4	7	2	3	3
PF13276	76	30	121	117	72	93	127	101	92	79	90	125
PF13277	30	18	37	38	30	47	34	41	33	26	36	59
PF13279	41	15	57	35	32	33	41	49	52	43	19	46
PF13280	28	17	59	55	45	55	60	73	73	53	42	68
PF13281	2	0	1	3	4	2	1	0	1	1	2	4
PF13282	12	6	18	16	17	29	28	33	28	17	34	34
PF13283	0	0	1	0	0	0	0	0	0	0	0	0
PF13286	21	15	28	30	28	23	26	39	30	31	30	32
PF13287	16	12	42	15	34	33	23	54	42	16	44	50
PF13288	20	13	28	29	22	28	40	40	34	27	34	37
PF13289	7	4	7	27	9	11	23	12	20	14	21	11
PF13290	18	12	45	18	36	40	26	53	46	25	52	62
PF13291	42	23	38	45	39	26	37	47	39	34	36	31
PF13292	73	49	117	115	76	76	100	109	119	90	95	107
PF13293	0	0	0	1	0	0	0	0	2	0	0	0
PF13296	0	0	0	0	0	1	1	0	1	0	0	0
PF13298	6	2	1	7	8	10	4	17	3	6	9	17
PF13299	0	0	0	0	0	0	0	0	0	1	0	0
PF13301	5	0	5	13	7	1	7	3	8	3	1	2
PF13302	73	46	94	138	97	90	138	132	123	116	87	134
PF13303	0	2	0	0	1	0	0	1	0	0	0	0
PF13304	357	285	589	538	468	443	525	618	633	386	541	681
PF13305	6	6	20	25	13	7	15	22	13	13	5	6
PF13306	4	21	13	28	21	14	20	16	21	11	10	21
PF13307	19	10	30	21	26	35	35	38	43	33	43	56
PF13308	1	7	6	5	9	0	4	4	5	4	4	2
PF13309	1	2	1	1	1	1	2	1	2	3	3	2
PF13310	7	12	33	19	29	30	33	60	35	16	39	41
PF13311	2	1	0	0	1	1	3	1	1	1	0	0
PF13312	0	0	0	0	0	0	0	0	1	0	0	0
PF13313	3	0	1	11	5	5	4	1	4	8	6	9
PF13315	0	0	0	0	0	0	0	0	0	0	1	0
PF13316	0	1	0	0	0	0	0	0	0	0	0	0
PF13318	0	0	0	2	2	1	0	0	2	2	0	0
PF13319	1	1	0	0	1	0	1	0	1	0	0	0
PF13320	6	1	5	4	6	11	8	23	12	9	28	16
PF13324	1	0	0	0	0	0	0	0	0	0	0	0
PF13326	0	0	2	2	2	0	1	0	2	1	0	0
PF13328	48	36	75	67	61	57	61	74	65	59	55	64
PF13330	1	0	0	1	0	0	0	0	0	0	0	1
PF13331	0	1	0	0	0	0	1	0	0	0	0	0
PF13332	1	0	0	0	1	1	1	0	0	0	1	0
PF13333	59	25	75	98	62	52	69	76	66	63	72	80
PF13335	21	13	34	33	32	27	39	36	28	34	36	50
PF13336	31	12	34	31	34	39	46	65	39	29	47	69
PF13337	21	8	20	18	31	43	29	42	33	28	37	44
PF13338	9	5	13	7	12	14	6	16	5	4	15	19
PF13339	0	0	0	0	0	0	1	0	0	0	0	1
PF13340	53	9	44	84	42	46	55	33	69	48	43	55
PF13342	6	2	6	4	3	5	6	7	8	3	6	9
PF13343	46	40	112	81	56	52	76	66	84	63	51	66
PF13344	14	10	25	24	22	20	27	16	26	14	14	16
PF13346	20	4	16	24	18	14	30	33	32	17	29	33
PF13347	99	49	168	126	107	137	150	150	169	121	133	206
PF13349	10	6	9	9	11	6	12	12	6	4	12	9
PF13350	8	6	14	31	17	12	20	23	23	18	16	22
PF13353	101	59	134	101	115	171	132	196	138	98	164	251
PF13354	39	20	42	47	39	19	37	34	47	39	20	33
PF13355	0	0	1	1	1	0	2	2	3	1	0	0
PF13356	10	7	19	24	13	10	18	20	18	13	6	13
PF13358	171	31	146	201	158	175	206	164	216	174	172	223
PF13359	33	4	19	33	32	14	33	8	24	24	14	21
PF13360	164	34	104	187	140	262	187	268	212	249	298	367
PF13361	109	86	176	176	173	152	210	216	211	136	180	223
PF13362	15	11	19	22	17	17	26	24	24	14	20	21
PF13364	5	4	6	6	4	4	12	7	12	8	12	5
PF13365	124	60	153	217	196	174	216	233	239	197	180	241
PF13366	38	24	59	44	52	87	60	94	61	49	84	106
PF13367	16	4	9	20	14	27	26	20	32	19	28	24
PF13368	20	15	32	31	41	12	27	29	26	21	6	21
PF13369	22	4	15	22	15	8	30	12	22	15	9	12
PF13370	17	17	46	17	34	46	37	65	39	28	62	58
PF13371	134	34	124	200	113	115	182	146	239	131	138	189
PF13372	20	4	14	37	13	24	27	23	21	19	24	31
PF13374	466	84	364	681	435	442	628	469	825	480	493	647
PF13375	12	20	25	11	27	21	16	52	24	23	20	42
PF13376	14	2	7	35	12	11	25	12	21	18	6	14
PF13377	86	94	151	88	142	130	102	213	180	112	177	185
PF13378	179	25	117	187	139	170	175	235	163	165	186	232
PF13379	32	13	38	64	29	24	40	38	40	27	18	34
PF13380	57	28	88	58	94	108	71	88	67	62	126	116
PF13382	8	16	19	12	13	15	12	31	6	10	16	25
PF13383	2	0	2	1	1	0	3	1	3	2	1	1
PF13384	206	77	221	284	220	250	269	283	314	219	257	315
PF13385	174	35	204	147	181	327	227	345	283	251	367	453
PF13386	23	17	41	44	28	36	39	49	55	40	39	54
PF13387	7	2	6	15	11	7	12	17	11	10	9	12
PF13391	4	8	12	8	8	13	6	13	14	10	14	11
