Sample Name	RollUpLevel	Rank	TaxID	Type	Phylum	Class	Order	Family	Genus	Species	All Samples	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Paenibacillus	genus	genus	44249	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus		450	23	11	49	49	30	31	39	55	47	38	29	49
Gemmobacter	genus	genus	204456	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Gemmobacter		449	40	16	85	68	43	22	29	47	25	27	18	29
Thauera	genus	genus	33057	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Thauera		439	32	4	44	47	39	32	54	42	26	36	32	51
Skermanella	genus	genus	204447	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella		435	24	15	60	52	29	27	38	34	39	42	24	51
Caulobacter	genus	genus	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter		434	43	9	44	73	31	16	43	35	43	47	15	35
Corynebacteriales unclassified	genus	order	85007	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales				433	29	8	27	47	26	25	52	48	37	37	43	54
Cyanobacteria unclassified	genus	phylum	1117	Bacteria	Cyanobacteria						424	34	8	47	59	27	12	44	31	104	34	13	11
Lamprocystis	genus	genus	53452	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Lamprocystis		422	16	3	34	44	35	54	39	30	40	38	23	66
Xanthobacter	genus	genus	279	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter		421	28	18	67	59	53	21	18	26	27	40	14	50
Inquilinus	genus	genus	171673	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus		415	22	11	24	87	22	23	83	32	38	27	15	31
Lysobacter	genus	genus	68	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter		411	37	8	17	76	26	24	46	28	18	56	30	45
Unclassified Burkholderiales unclassified	genus	no rank	119065	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales				411	55	10	38	58	14	31	56	13	41	25	19	51
Xanthomonadales unclassified	genus	order	135614	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales				406	23	7	32	60	33	26	40	37	36	48	23	41
Desulfocurvus	genus	genus	700595	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfocurvus		406	13	13	36	16	34	34	35	50	46	30	34	65
Opitutaceae unclassified	genus	family	134623	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae			391	24	12	46	15	20	55	32	44	33	20	24	66
Methanohalophilus	genus	genus	2175	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus		390	4	230	6	0	5	0	0	113	0	0	32	0
Nocardioides	genus	genus	1839	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides		388	22	4	19	42	19	25	63	45	38	35	34	42
Massilia	genus	genus	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia		384	25	9	33	38	19	21	37	32	46	60	23	41
Thioflavicoccus	genus	genus	156885	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thioflavicoccus		382	19	6	36	36	51	29	33	18	39	31	19	65
Candidatus Solibacter	genus	genus	332162	Bacteria	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	Candidatus Solibacter		380	56	0	20	36	36	22	61	26	22	35	30	36
Oscillatoriophycideae unclassified	genus	subclass	1301283	Bacteria	Cyanobacteria						380	40	4	42	72	29	9	33	26	66	30	14	15
Desulfuromonas	genus	genus	890	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas		378	15	4	29	18	32	32	37	48	34	28	42	59
Xanthomonas	genus	genus	338	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas		376	30	8	32	41	38	27	45	30	34	35	19	37
Arthrobacter	genus	genus	1663	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter		368	21	7	29	40	19	38	38	40	34	28	31	43
Geminicoccus	genus	genus	489140	Bacteria	Proteobacteria	Alphaproteobacteria			Geminicoccus		363	22	24	39	41	40	26	33	28	21	24	26	39
Acetobacteraceae unclassified	genus	family	433	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae			362	35	6	34	43	34	24	30	25	27	35	19	50
Geitlerinema	genus	genus	63132	Bacteria	Cyanobacteria		Oscillatoriales		Geitlerinema		361	33	0	14	59	10	5	67	14	110	49	0	0
Flavobacteriaceae unclassified	genus	family	49546	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			355	38	17	45	38	53	14	45	40	28	14	12	11
