Sample_Name	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
Vibrio	10	8	18	8	7	3	25	21	15	7	5	7
Acinetobacter	13	4	15	10	12	11	13	12	11	11	10	11
Halothiobacillus	14	4	12	2	39	0	10	21	6	6	12	6
Starkeya	19	5	12	19	16	8	11	8	5	15	6	7
Sedimenticola	0	1	18	9	19	9	15	16	16	8	0	20
Rhodanobacteraceae_unclassified	10	3	9	21	10	11	13	12	9	16	7	9
Blastochloris	6	4	22	15	1	13	12	10	8	10	9	19
Pedosphaera	14	0	0	19	0	18	10	9	11	0	15	33
Oscillatoria	11	0	27	16	13	0	13	0	48	0	0	0
Phaeobacter	9	3	33	32	8	1	11	12	5	5	4	5
Euryhalocaulis	13	10	11	21	6	6	25	9	16	3	0	7
Alcaligenaceae_unclassified	10	1	9	11	11	7	11	13	13	12	10	18
Halorhodospira	5	4	13	12	19	12	5	13	6	9	11	16
Phaeospirillum	8	0	15	15	13	10	14	17	8	11	1	13
Janthinobacterium	9	2	13	14	7	8	17	7	15	16	5	11
Serratia	7	2	11	8	12	8	11	15	14	13	11	10
Cellulomonas	9	2	11	17	5	14	10	7	11	7	9	20
Lyngbya	8	1	5	13	9	1	33	5	43	2	0	1
Cyanobium	7	0	9	23	1	1	16	5	20	2	9	28
Microgenomates_group_unclassified	7	1	6	16	9	16	14	11	4	16	11	10
Anaerolinea	0	0	0	9	0	15	1	9	31	7	21	28
Clostridium	5	21	13	3	9	13	8	11	14	5	7	11
Rhodopirellula	7	1	6	9	4	7	7	24	6	9	29	11
Desulfonatronospira	0	10	8	0	11	12	6	17	15	0	19	21
Enterobacter	5	3	7	15	4	10	13	12	14	13	7	15
Actinomadura	5	0	5	14	8	9	12	3	15	20	7	20
Sphaerobacter	0	0	2	10	8	18	8	15	14	11	11	20
Thermaerobacter	2	0	3	1	17	10	7	24	11	3	22	16
Haliscomenobacter	0	0	11	33	28	0	22	14	8	0	0	0
Nocardioidaceae_unclassified	9	2	3	14	10	4	13	15	15	3	13	14
Thermithiobacillus	9	4	7	20	4	5	11	15	6	12	12	10
Spirulina	0	0	27	14	16	0	16	0	39	3	0	0
Herbaspirillum	7	3	9	10	5	12	12	12	8	7	13	16
Rhodomicrobium	7	0	9	30	14	4	9	10	6	15	5	4
Chryseobacterium	14	8	10	9	12	5	15	17	12	4	4	3
Nevskia	11	0	9	11	13	4	18	16	9	11	0	11
Lysinimicrobium	5	4	8	8	8	14	10	10	11	14	7	14
Chloroflexus	1	2	10	9	17	1	9	10	16	10	6	20
Chromobacteriaceae_unclassified	10	4	7	8	9	8	16	11	11	16	6	4
Wenzhouxiangella	7	0	10	18	4	9	12	11	11	9	9	10
Ideonella	12	4	10	10	8	5	9	7	6	17	6	15
Neosynechococcus	9	0	14	31	8	0	11	0	26	10	0	0
Reyranella	5	2	11	10	7	16	13	8	12	8	8	8
Limnochorda	0	0	6	0	16	9	13	12	9	13	16	14
Neisseria	5	3	10	16	14	7	8	10	12	3	7	12
Symbiobacterium	0	0	11	14	0	11	6	11	14	9	20	11
Methylosinus	7	2	17	24	5	3	10	11	4	7	9	7
